OrderID,OrderDate,ShipDate,DeliveryDate,Category,SubCategory,Quantity,UnitPrice,Sales,Discount,Profit,Region,PaymentMode,ReviewText,Gender,Age
1,2023-08-03,2023-08-06,2023-08-07,Clothing,Jacket,8.0,3872,30976,0,2273.73,West,UPI,Excellent,Other,39.0
2,2023-06-10,2023-06-14,2023-06-16,Electronics,Mobile,8.0,2533,20264,15,3424.76,South,UPI,Excellent,Male,44.0
3,2023-05-11,2023-05-12,2023-05-13,Clothing,Kurta,3.0,1999,5997,10,1065.88,East,UPI,Good,Other,35.0
4,,2023-12-10,2023-12-11,Grocery,Snacks,2.0,2141,4282,0,224.36,West,COD,Excellent,Male,25.0
5,2023-01-02,2023-01-04,2023-01-06,Clothing,Kurta,1.0,2055,2055,5,291.62,South,Card,,Female,46.0
6,2023-12-17,2023-12-21,2023-12-22,Clothing,Jeans,2.0,4397,8794,5,1578.95,West,Card,Excellent,Male,57.0
7,2023-08-05,2023-08-09,2023-08-11,,Tablet,2.0,978,1956,0,269.95,West,UPI,Good,Male,32.0
8,2023-05-16,2023-05-20,2023-05-21,Electronics,Laptop,9.0,2668,24012,15,2229.45,East,COD,Good,Other,52.0
9,2023-01-28,2023-01-31,2023-02-01,Electronics,Camera,5.0,3661,18305,10,2432.65,West,Card,Good,Other,40.0
10,2023-02-04,2023-02-05,2023-02-06,Furniture,Bed,5.0,2831,14155,15,1097.4,North,COD,Average,Male,22.0
11,2023-02-11,2023-02-15,2023-02-16,,Sofa,7.0,4588,32116,10,3298.89,East,COD,Good,Male,49.0
12,2023-01-13,2023-01-17,2023-01-18,Grocery,Beverages,5.0,1778,8890,10,643.75,East,COD,Excellent,Female,59.0
13,2023-04-18,2023-04-22,2023-04-24,Electronics,Mobile,9.0,3160,28440,5,3201.1,South,Card,Average,Female,45.0
14,2023-08-21,2023-08-24,2023-08-25,Electronics,Camera,1.0,1406,1406,5,66.89,South,COD,Good,Female,54.0
15,2023-04-06,2023-04-10,2023-04-11,Electronics,Camera,,2098,16784,10,1487.61,West,UPI,Good,Female,29.0
16,2023-07-06,2023-07-07,2023-07-09,,Sofa,2.0,1736,3472,0,693.22,South,Card,Poor,Male,18.0
17,2023-09-04,2023-09-08,2023-09-09,Clothing,Jeans,2.0,1807,3614,5,679.27,East,COD,Good,Other,55.0
18,2023-08-28,2023-09-01,2023-09-02,,Snacks,,297,1188,5,147.13,North,COD,Poor,Other,37.0
19,2023-05-28,2023-06-01,2023-06-02,Grocery,Fruits,4.0,1469,5876,10,906.56,West,UPI,Good,Other,35.0
20,2023-09-09,2023-09-13,2023-09-15,Grocery,Snacks,,4161,37449,5,3155.33,West,UPI,Excellent,Male,
21,2023-01-09,2023-01-10,2023-01-11,Electronics,Tablet,5.0,3208,16040,15,1976.46,East,COD,Excellent,Female,50.0
22,2023-08-15,2023-08-19,2023-08-21,Grocery,Vegetables,1.0,1545,90715,15,185.12,North,COD,,Male,35.0
23,2023-06-18,2023-06-22,2023-06-23,Grocery,Beverages,2.0,3877,7754,5,863.8,West,UPI,,Other,20.0
24,2023-01-22,2023-01-24,2023-01-26,Electronics,Tablet,1.0,2835,2835,15,304.4,South,Card,Poor,Other,25.0
25,2023-11-13,2023-11-17,2023-11-18,Clothing,Kurta,2.0,4993,9986,0,1363.44,West,COD,Good,Male,61.0
26,2023-02-06,2023-02-10,2023-02-11,,Beverages,5.0,2665,13325,10,1944.68,North,Card,Poor,Other,52.0
27,2023-06-10,2023-06-14,2023-06-15,Grocery,Snacks,4.0,290,1160,0,125.01,West,Card,Good,Female,48.0
28,2023-10-15,2023-10-18,2023-10-20,Furniture,Table,,1995,5985,5,367.17,East,Card,Average,Female,19.0
29,2023-06-19,2023-06-22,2023-06-24,Furniture,Chair,8.0,4441,35528,15,4014.11,East,Card,Good,Male,24.0
30,,2023-05-26,2023-05-27,Electronics,Tablet,4.0,2468,9872,15,1303.11,East,COD,Excellent,Female,19.0
31,2023-07-09,2023-07-10,2023-07-12,Grocery,Fruits,6.0,4246,25476,0,1866.28,South,Card,Good,Female,23.0
32,2023-01-05,2023-01-08,2023-01-10,Clothing,Jeans,5.0,3224,16120,15,1128.68,South,UPI,,Female,64.0
33,2023-06-07,2023-06-10,2023-06-11,Clothing,Kurta,8.0,4464,35712,5,4323.75,West,COD,Average,Female,43.0
34,2023-05-09,2023-05-11,2023-05-13,Electronics,Mobile,5.0,2938,14690,10,2041.27,North,COD,Bad,Female,42.0
35,2023-03-10,2023-03-12,2023-03-13,Grocery,Snacks,5.0,3443,17215,0,2766.18,East,COD,Excellent,Female,33.0
36,2023-03-10,2023-03-13,2023-03-14,Clothing,Shirt,6.0,2844,17064,0,1150.3,South,Card,Excellent,Male,29.0
37,2023-08-10,2023-08-11,2023-08-12,Grocery,Beverages,5.0,4746,23730,15,1532.56,South,Card,Poor,Female,48.0
38,2023-11-21,2023-11-22,2023-11-24,Furniture,Table,3.0,2589,7767,15,1178.27,West,COD,Bad,Male,45.0
39,2023-02-02,2023-02-03,2023-02-04,Grocery,Vegetables,4.0,1787,7148,15,657.56,East,COD,Poor,Other,18.0
40,2023-12-03,2023-12-05,2023-12-07,Electronics,Tablet,2.0,2646,90715,5,766.43,North,Card,Bad,Female,51.0
41,2023-03-16,2023-03-17,2023-03-19,Clothing,Shirt,7.0,3367,23569,5,3459.58,West,UPI,Poor,Male,53.0
42,2023-04-09,2023-04-13,2023-04-15,,Chair,9.0,3067,27603,15,3200.03,South,UPI,Poor,Male,30.0
43,2023-08-05,2023-08-07,2023-08-08,Clothing,Shirt,3.0,4052,12156,5,1437.57,East,COD,Good,Male,58.0
44,2023-02-21,2023-02-24,2023-02-26,Clothing,Jacket,9.0,2602,23418,15,3831.96,East,UPI,Poor,Other,29.0
45,2023-02-08,2023-02-09,2023-02-10,Electronics,Tablet,5.0,3736,18680,10,2810.87,South,Card,Bad,Male,
46,,2023-09-12,2023-09-13,Clothing,Shirt,2.0,4946,9892,15,1288.17,South,UPI,Bad,Male,44.0
47,2023-12-31,2024-01-01,2024-01-03,Furniture,Table,5.0,3336,16680,5,3137.44,West,UPI,Good,Male,21.0
48,,2023-07-23,2023-07-24,Grocery,Beverages,3.0,3023,9069,5,1341.98,East,Card,Average,Male,30.0
49,2023-01-01,2023-01-04,2023-01-05,Furniture,Bed,4.0,555,2220,0,384.99,West,Card,Good,Other,42.0
